key,input,activity10
GXHXWYPFYXTSRC-UHFFFAOYSA-N,Cc1nn(C)c2c1sc1nncn12,0.30586987270155586
RYMYQAMZUWJAEO-UHFFFAOYSA-N,NS(=O)(=O)c1cc2ccccc2[nH]1,0.22623762376237624
JBMBVWROWJGFMG-UHFFFAOYSA-N,Clc1ncc2[nH]cnc2n1,0.21287128712871287
OCWIPIMYSTWDJI-UHFFFAOYSA-N,O=C(NO)c1ncccc1Cl,0.07095709570957096
KMOUUZVZFBCRAM-UHFFFAOYSA-N,O=C1OC(=O)C2CC=CCC12,0.11839933993399339
PZOIEPPCQPZUAP-UHFFFAOYSA-N,CCCCC(O)CN,0.20618811881188118
BHTZCIGVYSJBQB-UHFFFAOYSA-N,CC(=O)c1cc[nH]n1,0.06641914191419143
WAFDOCQYHNCLIC-UHFFFAOYSA-N,COCc1nnc(NC(C)=O)s1,0.20115511551155116
WLECPZJERMBRKY-UHFFFAOYSA-N,CCCCP(=O)(O)CC(O)CN,0.24752475247524752
ZJVBKUCVYUDUHK-SNAWJCMRSA-N,COC(=O)/C=C/C1=CN(C)CN1C,0.1485148514851485
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,O=C(O)CCNC(=O)c1ccccc1,0.039603960396039604
WPZGDMHEBVYNLZ-VMPITWQZSA-N,CS(=O)(=O)/C(C#N)=C/c1ccc[nH]1,0.2107260726072607
DVOSRLSVEOCANS-UHFFFAOYSA-N,O=[N+]([O-])OCCCCCO,0.3056341348420557
ZJGXLWXYCZGAJX-UHFFFAOYSA-N,NC1=NC2(CCCO2)CCS1,0.38506600660066015
JYLRGSILCSWRSY-UHFFFAOYSA-N,Cc1n[nH]c(NCCO)c1[N+](=O)[O-],0.19389438943894388
HQTYIRUSJRQGBS-UHFFFAOYSA-N,O=C1COC2(CCNCC2)C1,0.24785478547854786
ZAKLKBFCSHJIRI-UHFFFAOYSA-N,O=C1OC(O)C(Cl)=C1Cl,0.11105610561056103
GOIFAGYTACLHFG-UHFFFAOYSA-O,C[n+]1ccc(/C=N/O)c(F)c1,0.1363036303630363
YHUAHVPZGNXPMS-UHFFFAOYSA-N,CCc1c(O)c(=O)ccn1C,0.11831683168316831
FGVVTMRZYROCTH-UHFFFAOYSA-N,[O-][n+]1ccccc1S,0.22880716643092883
GBQQIMAKWFXDDK-UHFFFAOYSA-N,Cc1ncn2c(=O)[nH]ncc12,0.165016501650165
PGRHXDWITVMQBC-UHFFFAOYSA-N,CC(=O)C1C(=O)C=C(C)OC1=O,0.04579207920792079
CIKRUXXVSDQFHD-UHFFFAOYSA-N,O=C1C=C(C2CC=CCO2)C(O)O1,0.08333333333333333
HIZMOSZXHSNYFG-UHFFFAOYSA-N,CC1=C(CO)C(C)(C)CC(=O)C1O,0.09752475247524753
NBPIKJMMYBAHGS-UHFFFAOYSA-N,Cc1cc(C(=O)NCC(=O)O)c(C)o1,0.08580858085808582
OIDIRWZVUWCCCO-UHFFFAOYSA-N,CC[n+]1ccccc1,0.1056105610561056
HANLPTNWOHPPBT-UHFFFAOYSA-N,CC(C)C(CO)CC(=O)O,0.09028760018859028
VUERQRKTYBIULR-UHFFFAOYSA-N,CCO[PH](=O)O,0.07623762376237625
FBSFWRHWHYMIOG-UHFFFAOYSA-N,COC(=O)c1cc(O)c(O)c(O)c1,0.1188118811881188
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(C(=O)O)cc1,0.019801980198019802
MNWYXJXDGKCBFV-UHFFFAOYSA-N,Nc1nc(-c2cnccn2)ns1,0.11386138613861387
NWARLDNUDONSGV-UHFFFAOYSA-N,Cc1cc(Cl)nc(NCCN)n1,0.27722772277227725
KLYZILOJVQMYSK-UHFFFAOYSA-N,COc1ccc(OC)c(C(N)=O)c1,0.165016501650165
RJNJWHFSKNJCTB-UHFFFAOYSA-N,NC(=O)NCc1ccccc1,0.17120462046204618
RUMORPMPZWAZOZ-UHFFFAOYSA-N,O=C1C=CC(NC(=O)CCl)C1,0.09166666666666667
SRCBMONTDYZTOB-UHFFFAOYSA-N,CCN(COC)N=O,0.26320132013201325
GGYVTHJIUNGKFZ-UHFFFAOYSA-N,CN1CCCCC1=O,0.20627062706270627
JFUVIRBIEGGGAV-XBXARRHUSA-N,Nc1nnnn1/N=C/c1cccs1,0.15841584158415842
PZKWQLXWCWIRGV-ZCFIWIBFSA-N,CCNC(=O)N[C@H](CC)CO,0.16553512494106554
VQPCEYJOGDXUFW-FXBDTBDDSA-N,C[C@H]1CCC[C@]2(O[C@@H](O)C=CC2=O)O1,0.18003300330033004
QHOOUEYCLVTBPU-UHFFFAOYSA-O,CC[N+](C)(C)CC(=O)O,0.046723243752946717
UVSNFZAOYHOOJO-UHFFFAOYSA-N,Oc1ccc2[nH]nnc2c1,0.08622112211221121
KAJYCRNJJRQNMU-WEVVVXLNSA-N,O=C(NO)N/N=C/c1ccccc1O,0.12541254125412543
NAAZXRDKBDXLMS-UHFFFAOYSA-N,CC(=O)Nc1ccncc1N,0.0891089108910891
FRGRBTVTBPOAIY-UHFFFAOYSA-N,O=C(NCCCl)SCCO,0.13052805280528051
LWRZENUXXSTRBD-UHFFFAOYSA-N,CNC(C(=O)O)c1c(C)o[nH]c1=O,0.02599009900990099
QEZPUQMNWKYVDS-UHFFFAOYSA-N,O=Cc1ccc(OCC(O)CO)cc1,0.20462046204620463
ULXKXLZEOGLCRJ-UHFFFAOYSA-N,CCSCC(N)C(=O)O,0.04966996699669967
OTVCGIWBAYNHOW-UHFFFAOYSA-N,CNC(=O)c1cccc(C(=O)NO)c1,0.11056105610561057
LCTPUJDUSKCUMZ-YUMQZZPRSA-N,C[C@H]1CC2(CC[C@@H]1O)OCCO2,0.2079207920792079
DTIFFHAURKBXJT-LURJTMIESA-N,FCc1cc(OC[C@@H]2CCN2)on1,0.4682343234323432
IKJDIDUPEGBVKA-UHFFFAOYSA-N,O=c1[nH]c2ncccc2cc1O,0.09405940594059406
OECTYKWYRCHAKR-UHFFFAOYSA-N,C1CC2OC2CC1C1CO1,0.5783828382838283
DCDBUDNURLZBED-POYBYMJQSA-N,NC[C@@H]1C=C[C@H](c2c[nH]cn2)O1,0.21782178217821782
OIRDBPQYVWXNSJ-UHFFFAOYSA-N,COS(=O)(=O)C(F)(F)F,0.13366336633663367
VFSOLOWNRZXMRH-UHFFFAOYSA-N,O=C(Cc1cccc(F)c1)NO,0.13696369636963696
SJDAOFMYBGFPOF-BJMVGYQFSA-N,O/N=C/c1nc(-c2ccncc2)no1,0.22524752475247525
XKXCGXSHUNVFCT-UHFFFAOYSA-N,N/C(=N\O)c1ccccn1,0.10726072607260725
BGKUWZFWNZFRMO-UHFFFAOYSA-N,NCC#Cc1cccnc1,0.10247524752475247
BZZIJKWURTYMLH-UHFFFAOYSA-N,CN(C)C1=CC(=O)C(N(C)C)=CC1=O,0.1424092409240924
YYZCEOGYVYXDPC-BJMVGYQFSA-N,C/C(=N\NC(N)=S)c1ccc[nH]1,0.12805280528052806
DVKSJLWFAOFXDM-ONEGZZNKSA-N,O=C(O)/C=C/C(=O)Nc1cccnc1,0.0594059405940594
YXLPJEYGHOYBND-UHFFFAOYSA-N,COc1cccc(N2CCC(=O)N2)c1,0.3254950495049505
CXOGMMQKRNROKJ-UHFFFAOYSA-N,O=c1cccc2n1CC1CNCC21,0.3102310231023102
DOPJTDJKZNWLRB-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1O,0.06204620462046204
NHTGHBARYWONDQ-JTQLQIEISA-N,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,0.1485148514851485
WUJKUDYOBOSPIE-UHFFFAOYSA-N,CCOC(=O)C(C(=O)NO)C(C)C,0.09818481848184818
ZKBWTTJXLBXQBL-RUDMXATFSA-N,Cc1ccc(/C=N/n2nnnc2N)o1,0.3910891089108911
MGNRYCZKSOWXIP-UHFFFAOYSA-N,NCC1CC(=O)CC(=O)C1,0.15181518151815182
CAHPJJJZLQXPKS-JTQLQIEISA-N,C[C@](N)(Cc1cccc(O)c1)C(=O)O,0.15841584158415842
WDMDEGIRDMDAFZ-FWPZAIACSA-N,C=CC1C[C@H](N)[C@H](C(=O)O)C1,0.13597359735973596
UVHFUQYTPWWZFB-UUFMJPOISA-N,CO/N=C(\C)[C@H]1CN2CC[C@H]1C2,0.22937293729372935
BXTYDNLOFHBZFS-UHFFFAOYSA-N,COC(=O)C(Br)CF,0.05925271098538426
ZMNVGQRKZUGOQF-BYPYZUCNSA-N,CSC(=S)N[C@H]1CCOC1=O,0.12508250825082506
NQEWXLVDAVTOHM-UHFFFAOYSA-N,NNC(=O)c1cccc([N+](=O)[O-])c1,0.15511551155115513
CVVDYLXTNDBWJC-UHFFFAOYSA-N,NC1CC=C(C(=O)O)C1,0.039603960396039604
VBIWTALYKCUJQJ-UHFFFAOYSA-N,N=C(N)N1CCc2ccccc21,0.1827557755775578
CORPZWBVJRCLMW-UHFFFAOYSA-N,NCCCc1cccnc1,0.44554455445544555
KTEPQLOOQDLKHF-BQBZGAKWSA-N,C[C@H]1CNC[C@@H]1c1c[nH]cn1,0.19257425742574258
FCBGYAWEDJSZGV-UWVGGRQHSA-N,N[C@H]1Cc2ccccc2C[C@H](O)C1=O,0.1782178217821782
NSZLSZUYGCHLLY-UHFFFAOYSA-N,O=c1[nH]cnc2c1N1CCC2CC1,0.4752475247524752
OVOOMKQEFDAYTF-UHFFFAOYSA-N,Cc1cc(C)nc(NCCC(=O)O)n1,0.13861386138613863
NOIRTYMOEFHJRM-UHFFFAOYSA-N,COCN1C(=O)c2ccccc2C1=O,0.24092409240924095
