Inchi_key,Smiles
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,O=C(O)CCNC(=O)c1ccccc1
WPZGDMHEBVYNLZ-VMPITWQZSA-N,CS(=O)(=O)/C(C#N)=C/c1ccc[nH]1
DVOSRLSVEOCANS-UHFFFAOYSA-N,O=[N+]([O-])OCCCCCO
ZJGXLWXYCZGAJX-UHFFFAOYSA-N,NC1=NC2(CCCO2)CCS1
JYLRGSILCSWRSY-UHFFFAOYSA-N,Cc1n[nH]c(NCCO)c1[N+](=O)[O-]
HQTYIRUSJRQGBS-UHFFFAOYSA-N,O=C1COC2(CCNCC2)C1
ZAKLKBFCSHJIRI-UHFFFAOYSA-N,O=C1OC(O)C(Cl)=C1Cl
GOIFAGYTACLHFG-UHFFFAOYSA-O,C[n+]1ccc(/C=N/O)c(F)c1
YHUAHVPZGNXPMS-UHFFFAOYSA-N,CCc1c(O)c(=O)ccn1C
FGVVTMRZYROCTH-UHFFFAOYSA-N,[O-][n+]1ccccc1S
GBQQIMAKWFXDDK-UHFFFAOYSA-N,Cc1ncn2c(=O)[nH]ncc12
PGRHXDWITVMQBC-UHFFFAOYSA-N,CC(=O)C1C(=O)C=C(C)OC1=O
CIKRUXXVSDQFHD-UHFFFAOYSA-N,O=C1C=C(C2CC=CCO2)C(O)O1
HIZMOSZXHSNYFG-UHFFFAOYSA-N,CC1=C(CO)C(C)(C)CC(=O)C1O
NBPIKJMMYBAHGS-UHFFFAOYSA-N,Cc1cc(C(=O)NCC(=O)O)c(C)o1
OIDIRWZVUWCCCO-UHFFFAOYSA-N,CC[n+]1ccccc1
HANLPTNWOHPPBT-UHFFFAOYSA-N,CC(C)C(CO)CC(=O)O
VUERQRKTYBIULR-UHFFFAOYSA-N,CCO[PH](=O)O
FBSFWRHWHYMIOG-UHFFFAOYSA-N,COC(=O)c1cc(O)c(O)c(O)c1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(C(=O)O)cc1
MNWYXJXDGKCBFV-UHFFFAOYSA-N,Nc1nc(-c2cnccn2)ns1
NWARLDNUDONSGV-UHFFFAOYSA-N,Cc1cc(Cl)nc(NCCN)n1
KLYZILOJVQMYSK-UHFFFAOYSA-N,COc1ccc(OC)c(C(N)=O)c1
RJNJWHFSKNJCTB-UHFFFAOYSA-N,NC(=O)NCc1ccccc1
RUMORPMPZWAZOZ-UHFFFAOYSA-N,O=C1C=CC(NC(=O)CCl)C1
SRCBMONTDYZTOB-UHFFFAOYSA-N,CCN(COC)N=O
GGYVTHJIUNGKFZ-UHFFFAOYSA-N,CN1CCCCC1=O
JFUVIRBIEGGGAV-XBXARRHUSA-N,Nc1nnnn1/N=C/c1cccs1
PZKWQLXWCWIRGV-ZCFIWIBFSA-N,CCNC(=O)N[C@H](CC)CO
VQPCEYJOGDXUFW-FXBDTBDDSA-N,C[C@H]1CCC[C@]2(O[C@@H](O)C=CC2=O)O1
QHOOUEYCLVTBPU-UHFFFAOYSA-O,CC[N+](C)(C)CC(=O)O
UVSNFZAOYHOOJO-UHFFFAOYSA-N,Oc1ccc2[nH]nnc2c1
KAJYCRNJJRQNMU-WEVVVXLNSA-N,O=C(NO)N/N=C/c1ccccc1O
NAAZXRDKBDXLMS-UHFFFAOYSA-N,CC(=O)Nc1ccncc1N
FRGRBTVTBPOAIY-UHFFFAOYSA-N,O=C(NCCCl)SCCO
LWRZENUXXSTRBD-UHFFFAOYSA-N,CNC(C(=O)O)c1c(C)o[nH]c1=O
QEZPUQMNWKYVDS-UHFFFAOYSA-N,O=Cc1ccc(OCC(O)CO)cc1
ULXKXLZEOGLCRJ-UHFFFAOYSA-N,CCSCC(N)C(=O)O
OTVCGIWBAYNHOW-UHFFFAOYSA-N,CNC(=O)c1cccc(C(=O)NO)c1
LCTPUJDUSKCUMZ-YUMQZZPRSA-N,C[C@H]1CC2(CC[C@@H]1O)OCCO2
DTIFFHAURKBXJT-LURJTMIESA-N,FCc1cc(OC[C@@H]2CCN2)on1
IKJDIDUPEGBVKA-UHFFFAOYSA-N,O=c1[nH]c2ncccc2cc1O
OECTYKWYRCHAKR-UHFFFAOYSA-N,C1CC2OC2CC1C1CO1
DCDBUDNURLZBED-POYBYMJQSA-N,NC[C@@H]1C=C[C@H](c2c[nH]cn2)O1
OIRDBPQYVWXNSJ-UHFFFAOYSA-N,COS(=O)(=O)C(F)(F)F
VFSOLOWNRZXMRH-UHFFFAOYSA-N,O=C(Cc1cccc(F)c1)NO
SJDAOFMYBGFPOF-BJMVGYQFSA-N,O/N=C/c1nc(-c2ccncc2)no1
XKXCGXSHUNVFCT-UHFFFAOYSA-N,N/C(=N\O)c1ccccn1
BGKUWZFWNZFRMO-UHFFFAOYSA-N,NCC#Cc1cccnc1
BZZIJKWURTYMLH-UHFFFAOYSA-N,CN(C)C1=CC(=O)C(N(C)C)=CC1=O
YYZCEOGYVYXDPC-BJMVGYQFSA-N,C/C(=N\NC(N)=S)c1ccc[nH]1
DVKSJLWFAOFXDM-ONEGZZNKSA-N,O=C(O)/C=C/C(=O)Nc1cccnc1
YXLPJEYGHOYBND-UHFFFAOYSA-N,COc1cccc(N2CCC(=O)N2)c1
CXOGMMQKRNROKJ-UHFFFAOYSA-N,O=c1cccc2n1CC1CNCC21
DOPJTDJKZNWLRB-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1O
NHTGHBARYWONDQ-JTQLQIEISA-N,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
WUJKUDYOBOSPIE-UHFFFAOYSA-N,CCOC(=O)C(C(=O)NO)C(C)C
ZKBWTTJXLBXQBL-RUDMXATFSA-N,Cc1ccc(/C=N/n2nnnc2N)o1
MGNRYCZKSOWXIP-UHFFFAOYSA-N,NCC1CC(=O)CC(=O)C1
CAHPJJJZLQXPKS-JTQLQIEISA-N,C[C@](N)(Cc1cccc(O)c1)C(=O)O
WDMDEGIRDMDAFZ-FWPZAIACSA-N,C=CC1C[C@H](N)[C@H](C(=O)O)C1
UVHFUQYTPWWZFB-UUFMJPOISA-N,CO/N=C(\C)[C@H]1CN2CC[C@H]1C2
BXTYDNLOFHBZFS-UHFFFAOYSA-N,COC(=O)C(Br)CF
ZMNVGQRKZUGOQF-BYPYZUCNSA-N,CSC(=S)N[C@H]1CCOC1=O
NQEWXLVDAVTOHM-UHFFFAOYSA-N,NNC(=O)c1cccc([N+](=O)[O-])c1
CVVDYLXTNDBWJC-UHFFFAOYSA-N,NC1CC=C(C(=O)O)C1
VBIWTALYKCUJQJ-UHFFFAOYSA-N,N=C(N)N1CCc2ccccc21
CORPZWBVJRCLMW-UHFFFAOYSA-N,NCCCc1cccnc1
