"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Np Likeness Score"	"Molecular Species"	"Molecular Formula"	"Smiles"	"Inchi Key"
"CHEMBL329602"	""	""	"Small molecule"	""	"161.21"	"4"	"5"	"0.77"	"28.49"	"3"	"0"	"0"	"1"	"Y"	"0.61"	"None"	"8.27"	"0.27"	"-0.65"	"1"	"MOL"	"-1"	"12"	"3"	"0"	"0"	"161.0953"	"-0.92"	"NEUTRAL"	"C9H11N3"	"CN1CCN=C1c1cccnc1"	"RZVRCMYMQUZHCY-UHFFFAOYSA-N"
"CHEMBL1995892"	""	""	"Small molecule"	""	"181.24"	"52"	"52"	"0.52"	"40.54"	"2"	"1"	"0"	"0"	"Y"	"0.59"	"12.87"	"None"	"-0.02"	"-0.02"	"0"	"MOL"	"-1"	"13"	"3"	"1"	"0"	"181.1103"	"1.32"	"NEUTRAL"	"C10H15NO2"	"O=C1[C@H](O)[C@@H]2CCC[C@@]23CCCN13"	"FBWXWTXDJFZJGE-QXFUBDJGSA-N"
"CHEMBL235874"	""	""	"Small molecule"	""	"186.60"	"1"	"2"	"0.75"	"65.72"	"2"	"2"	"0"	"1"	"N"	"0.64"	"7.97"	"None"	"0.74"	"0.63"	"1"	"MOL"	"-1"	"12"	"4"	"2"	"0"	"186.0196"	"0.03"	"NEUTRAL"	"C7H7ClN2O2"	"C/C=C/c1c(Cl)[nH]c(=O)[nH]c1=O"	"LGYIOPWXYKUGPC-NSCUHMNNSA-N"
"CHEMBL485646"	""	""	"Small molecule"	""	"182.22"	"9"	"11"	"0.45"	"56.33"	"3"	"2"	"0"	"2"	"Y"	"0.70"	"11.76"	"7.77"	"0.05"	"-0.47"	"1"	"MOL"	"-1"	"13"	"4"	"2"	"0"	"182.1055"	"-0.12"	"NEUTRAL"	"C9H14N2O2"	"Cc1[nH]cc(CN(C)C)c(=O)c1O"	"WYEQSXSQQVQGKL-UHFFFAOYSA-N"
"CHEMBL302691"	""	""	"Small molecule"	""	"180.25"	"1"	"1"	"0.53"	"32.34"	"2"	"1"	"0"	"1"	"Y"	"0.64"	"None"	"9.61"	"0.05"	"-2.12"	"0"	"MOL"	"-1"	"13"	"3"	"1"	"0"	"180.1263"	"1.03"	"BASE"	"C10H16N2O"	"CN(C)C(=O)C1=CCC2CCC1N2"	"OHXWQSMZRBQESX-UHFFFAOYSA-N"
"CHEMBL355518"	""	""	"Small molecule"	""	"193.67"	"1"	"3"	"0.70"	"37.30"	"1"	"1"	"0"	"1"	"Y"	"0.57"	"2.39"	"None"	"-3.43"	"-2.66"	"0"	"MOL"	"-1"	"11"	"3"	"1"	"0"	"158.1176"	"1.70"	"ACID"	"C8H16ClNO2"	"C[N+]1(C)CCCCC1C(=O)O.[Cl-]"	"MTHUYCKWLYBVJP-UHFFFAOYSA-N"
"CHEMBL4177244"	""	""	"Small molecule"	""	"164.17"	"3"	"4"	"0.75"	"69.87"	"5"	"1"	"0"	"1"	"N"	"0.67"	"None"	"1.52"	"0.20"	"0.20"	"2"	"MOL"	"-1"	"12"	"5"	"2"	"0"	"164.0698"	"-2.11"	"NEUTRAL"	"C7H8N4O"	"Cc1cnn(-c2cnoc2N)c1"	"BWCOGGSOPUZTNE-UHFFFAOYSA-N"
"CHEMBL3810079"	""	""	"Small molecule"	""	"130.24"	"1"	"1"	"0.71"	"52.04"	"2"	"2"	"0"	"4"	"N"	"0.59"	"None"	"10.30"	"0.31"	"-3.51"	"0"	"MOL"	"-1"	"9"	"2"	"4"	"0"	"130.1470"	"0.80"	"BASE"	"C7H18N2"	"CC(C)C[C@H](N)CCN"	"VIZDVWMUBSZSMV-SSDOTTSWSA-N"
"CHEMBL66935"	""	""	"Small molecule"	""	"188.19"	"2"	"2"	"0.01"	"57.59"	"4"	"1"	"0"	"0"	"N"	"0.62"	"11.04"	"4.04"	"-0.48"	"-0.48"	"1"	"MOL"	"-1"	"14"	"5"	"1"	"0"	"188.0698"	"-0.55"	"NEUTRAL"	"C9H8N4O"	"O=C1CN2Cc3ccncc3N=C2N1"	"BWYSIRTZMFWEOO-UHFFFAOYSA-N"
"CHEMBL67397"	""	""	"Small molecule"	""	"190.16"	"2"	"4"	"0.94"	"84.40"	"6"	"1"	"0"	"2"	"N"	"0.43"	"4.56"	"2.63"	"1.26"	"-0.80"	"2"	"MOL"	"-1"	"14"	"6"	"1"	"0"	"190.0491"	"-1.61"	"ACID"	"C8H6N4O2"	"O/N=C/c1nc(-c2ccncc2)no1"	"SJDAOFMYBGFPOF-BJMVGYQFSA-N"
"CHEMBL2237759"	""	""	"Small molecule"	""	"183.21"	"11"	"11"	"0.06"	"59.91"	"4"	"1"	"0"	"2"	"N"	"0.70"	"10.08"	"None"	"0.08"	"0.08"	"1"	"MOL"	"-1"	"13"	"5"	"1"	"0"	"183.1008"	"-1.32"	"NEUTRAL"	"C8H13N3O2"	"Cc1n[nH]c(=O)n1CC1CCCO1"	"ZDOWCNYOGNZOGV-UHFFFAOYSA-N"
"CHEMBL3244696"	""	""	"Small molecule"	""	"153.17"	"1"	"1"	"0.06"	"77.58"	"6"	"1"	"0"	"0"	"N"	"0.58"	"None"	"None"	"0.25"	"0.25"	"2"	"MOL"	"-1"	"10"	"5"	"2"	"0"	"153.0109"	"-1.80"	"NEUTRAL"	"C4H3N5S"	"Nc1ncnc2snnc12"	"ZPUBWKZQTAXUPN-UHFFFAOYSA-N"
"CHEMBL1453842"	""	""	"Small molecule"	""	"166.18"	"5"	"6"	"0.57"	"64.33"	"3"	"1"	"0"	"2"	"N"	"0.65"	"7.40"	"None"	"-0.18"	"-0.48"	"0"	"MOL"	"-1"	"12"	"4"	"1"	"0"	"166.0742"	"-0.91"	"NEUTRAL"	"C8H10N2O2"	"CCCN1CC(O)=C(C#N)C1=O"	"PGZVOBZIGXUZPF-UHFFFAOYSA-N"
"CHEMBL2141499"	""	""	"Small molecule"	""	"170.12"	"2"	"2"	"0.24"	"79.31"	"4"	"0"	"0"	"2"	"N"	"0.28"	"None"	"None"	"-1.48"	"-1.48"	"1"	"MOL"	"-1"	"12"	"6"	"0"	"0"	"170.0328"	"-1.05"	"NEUTRAL"	"C6H6N2O4"	"COc1cc[n+]([O-])cc1[N+](=O)[O-]"	"MDFMJGHUONYXSE-UHFFFAOYSA-N"
"CHEMBL110210"	""	""	"Small molecule"	""	"168.20"	"5"	"6"	"0.85"	"58.29"	"4"	"2"	"0"	"1"	"N"	"0.65"	"3.28"	"9.89"	"-0.44"	"-0.44"	"1"	"MOL"	"-1"	"12"	"4"	"2"	"0"	"168.0899"	"-0.43"	"ZWITTERION"	"C8H12N2O2"	"Oc1cc(C2CCNCC2)no1"	"TZNZXQTWTDSGLY-UHFFFAOYSA-N"
"CHEMBL3422489"	""	""	"Small molecule"	""	"192.20"	"1"	"2"	"0.62"	"66.56"	"3"	"2"	"0"	"3"	"N"	"0.64"	"-2.53"	"9.39"	"-1.78"	"-1.99"	"0"	"MOL"	"-1"	"12"	"4"	"3"	"0"	"192.1028"	"-0.24"	"ZWITTERION"	"C7H17N2O2P"	"NCP(=O)(O)CN1CCCCC1"	"FHPRIZYSQZAGJE-UHFFFAOYSA-N"
"CHEMBL1778793"	""	""	"Small molecule"	""	"187.24"	"1"	"1"	"0.62"	"58.56"	"3"	"2"	"0"	"4"	"N"	"0.68"	"2.05"	"10.53"	"-1.78"	"-1.78"	"0"	"MOL"	"-1"	"13"	"4"	"2"	"0"	"187.1208"	"0.88"	"ZWITTERION"	"C9H17NO3"	"CCC(C)O[C@@H]1CN[C@H](C(=O)O)C1"	"KBUXPVYGPIRJDO-ALKRTJFJSA-N"
"CHEMBL350757"	""	""	"Small molecule"	""	"179.22"	"1"	"3"	"0.46"	"48.62"	"4"	"0"	"0"	"2"	"N"	"0.46"	"None"	"7.57"	"0.77"	"0.37"	"0"	"MOL"	"-1"	"13"	"4"	"0"	"0"	"179.1059"	"0.28"	"NEUTRAL"	"C9H13N3O"	"CO/N=C(\C#N)[C@H]1CN2CCC1C2"	"COFRKLYXCWVCKM-UHFGSYKHSA-N"
